canton,annee,population
Basel-Landschaft,1988,228151
Schaffhausen,1988,70317
Appenzell Ausserrhoden,1988,50328
Appenzell Innerrhoden,1988,13333
St. Gallen,1988,410773
Graubünden / Grigioni / Grischun,1988,167904
Aargau,1988,484308
Thurgau,1988,198371
Ticino,1988,280630
Vaud,1988,565181
Valais / Wallis,1988,239048
Neuchâtel,1988,157436
Genève,1988,371356
Jura,1988,64681
Suisse,1989,6673850
Zürich,1989,1144899
Bern / Berne,1989,937365
Luzern,1989,314837
Uri,1989,33511
Schwyz,1989,108063
Obwalden,1989,28323
Nidwalden,1989,32030
Glarus,1989,37253
Zug,1989,84009
Fribourg / Freiburg,1989,204328
Solothurn,1989,223534
Basel-Stadt,1989,190347
Basel-Landschaft,1989,229030
Schaffhausen,1989,70949
Appenzell Ausserrhoden,1989,50882
Appenzell Innerrhoden,1989,13504
St. Gallen,1989,414718
Graubünden / Grigioni / Grischun,1989,169005
Aargau,1989,490412
Thurgau,1989,201620
Ticino,1989,283023
Vaud,1989,571973
Valais / Wallis,1989,243705
Neuchâtel,1989,158569
Genève,1989,373019
Jura,1989,64942
Suisse,1990,6750693
Zürich,1990,1150546
Bern / Berne,1990,945573
Luzern,1990,319525
Uri,1990,33650
Schwyz,1990,110526
Obwalden,1990,28813
Nidwalden,1990,32628
Glarus,1990,37648
Zug,1990,84908
Fribourg / Freiburg,1990,207751
Solothurn,1990,226655
Basel-Stadt,1990,191787
Basel-Landschaft,1990,230112
Schaffhausen,1990,71697
Appenzell Ausserrhoden,1990,51470
Appenzell Innerrhoden,1990,13573
St. Gallen,1990,420268
Graubünden / Grigioni / Grischun,1990,170411
Aargau,1990,496280
Thurgau,1990,205946
Ticino,1990,286725
Vaud,1990,583625
Valais / Wallis,1990,248313
Neuchâtel,1990,160609
Genève,1990,375957
Jura,1990,65697
Suisse,1991,6842768
Zürich,1991,1151718
Bern / Berne,1991,949770
Luzern,1991,326283
Uri,1991,35363
Schwyz,1991,113553
Obwalden,1991,29712
Nidwalden,1991,34344
Glarus,1991,38720
Zug,1991,85882
Fribourg / Freiburg,1991,210783
Solothurn,1991,232600
Basel-Stadt,1991,195647
Basel-Landschaft,1991,232333
Schaffhausen,1991,72457
Appenzell Ausserrhoden,1991,52437
Appenzell Innerrhoden,1991,14251
St. Gallen,1991,427648
Graubünden / Grigioni / Grischun,1991,176188
